pair_id,scenario_name,scenario_type,total_gross_pnl,total_net_pnl,total_signed_impact_cost_normalized,total_quadratic_impact_cost_normalized,mean_daily_net_pnl,std_daily_net_pnl,daily_sharpe,annualized_sharpe,total_signed_volume_turnover,total_notional_turnover,average_daily_turnover_shares,average_daily_turnover_notional,total_normalized_turnover,max_participation_rate,mean_participation_rate,max_drawdown,max_daily_drawdown,max_abs_position,max_abs_impact,number_of_trades,number_of_stock_days,mean_abs_trade,median_abs_trade,rows,rows_with_scaling,rows_skipped_due_to_missing_scaling,strategy_model,total_fitted_cost_ow_regression,total_abs_fitted_cost_ow_regression,net_pnl_under_ow_regression_eval,mean_abs_marginal_impact_ow_regression_bps,total_fitted_cost_reduced_form,total_abs_fitted_cost_reduced_form,net_pnl_under_reduced_form_eval,mean_abs_marginal_impact_reduced_form_bps,liquidation_trigger_mode,liquidation_probability,liquidation_random_seed,liquidation_mode,number_of_liquidation_events,number_no_liquidation_events,liquidation_event_rate_realized,expected_number_of_liquidation_events,number_fully_liquidated_immediately,number_fully_liquidated_eventually,number_with_residual_after_first_liquidation,number_with_overnight_residual,max_residual_position,total_abs_residual_position,mean_time_to_liquidate_minutes,max_time_to_liquidate_minutes,total_alpha_trades_suppressed_due_to_liquidation,hard_block_cap_violation_rate,total_turnover,baseline_net_pnl_ow_eval,stress_net_pnl_ow_eval,degradation_ow_eval,baseline_net_pnl_rf_eval,stress_net_pnl_rf_eval,degradation_rf_eval
1,forced_liq_deterministic_daily_hard_block_OW_transient_proxy,forced_liquidation_stress,22631547.68920917,22631547.68920917,0.0,0.0,1191134.088905746,787479.7702263778,1.5125900803309895,24.01162312883406,136079117.11668566,22810893939.8539,7162058.795615035,1200573365.2554686,135.92555696266854,0.05,7.94420843704435e-05,-1738971.9996175356,0.0,705447.3027049889,0.1397365215470522,295284,380,160.78692181872557,0.0,846332,846332,0,OW_transient_proxy,1276990.5409082605,1556171.8946379311,21354557.14830091,0.2789393342286876,1474508.6440003829,2325336.2979431343,21157039.04520879,0.2966739986198378,deterministic_daily,1.0,42,hard_block,380,0,1.0,380.0,380,380,0,0,0.0,0.0,0.0,0.0,498658,0.5526315789473685,136079117.11668566,32398621.783266157,21354557.14830091,-11044064.634965248,32349573.49304369,21157039.04520879,-11192534.447834902
1,forced_liq_deterministic_daily_capped_residual_OW_transient_proxy,forced_liquidation_stress,22552052.56450559,22552052.56450559,0.0,0.0,1186950.1349739784,778057.1629527602,1.5255307598087675,24.21705004700045,136079117.11668566,22811023523.177994,7162058.795615035,1200580185.4304209,135.92555696266854,0.01,7.94420843704435e-05,-1740196.947644813,0.0,705447.3027049889,0.1397365215470522,295791,380,160.78692181872557,0.0,846332,846332,0,OW_transient_proxy,671699.5985532133,952669.1395491324,21880352.965952378,0.2788836987977541,742592.6709385081,1582145.8763661657,21809459.89356708,0.2965539954231169,deterministic_daily,1.0,42,capped_with_residual,380,0,1.0,380.0,170,380,210,0,1.091393642127514e-11,6.548361852765083e-11,0.2451754385964912,1.5,499015,0.0,136079117.11668566,32398621.783266157,21880352.965952378,-10518268.817313785,32349573.49304369,21809459.89356708,-10540113.599476611
1,forced_liq_probabilistic_daily_p010_seed42_hard_block_OW_transient_proxy,forced_liquidation_stress,31330576.690413844,31330576.690413844,0.0,0.0,1648977.7205480973,774649.0930059539,2.1286770170341156,33.79170005190644,272503314.1615803,40935669401.46788,14342279.692714754,2154508915.86673,135.92555696266854,0.05,0.0001544355271767,-1738971.9996175356,0.0,705447.3027049889,0.1397365215470522,750175,380,321.98157952385156,138.97469774835736,846332,846332,0,OW_transient_proxy,694217.615194082,1268014.7456174311,30636359.075219765,0.2828141433155634,745751.0504243084,2436612.845237522,30584825.639989536,0.2985361124597373,probabilistic_daily,0.1,42,hard_block,33,347,0.0868421052631579,38.0,33,33,0,0,0.0,0.0,0.0,0.0,43746,0.5151515151515151,272503314.1615803,32398621.783266157,30636359.075219765,-1762262.7080463916,32349573.49304369,30584825.639989536,-1764747.853054155
1,forced_liq_probabilistic_daily_p010_seed42_capped_residual_OW_transient_proxy,forced_liquidation_stress,31254537.172546264,31254537.172546264,0.0,0.0,1644975.64066033,769656.534905681,2.13728535529412,33.92835318533141,272503314.1615803,40935751813.17174,14342279.692714754,2154513253.324829,135.92555696266854,0.01,0.0001544355271767,-1740196.947644813,0.0,705447.3027049889,0.1397365215470522,750219,380,321.98157952385156,138.99635672546538,846332,846332,0,OW_transient_proxy,629983.7196058615,1203844.588073725,30624553.452940404,0.2828067184881269,660825.8713237327,2351813.8509766385,30593711.301222533,0.298528166141353,probabilistic_daily,0.1,42,capped_with_residual,33,347,0.0868421052631579,38.0,16,33,17,0,1.091393642127514e-11,2.182787284255028e-11,0.2323232323232323,0.8333333333333334,43777,0.0,272503314.1615803,32398621.783266157,30624553.452940404,-1774068.3303257525,32349573.49304369,30593711.301222533,-1755862.191821158
