pair_id,scenario_name,scenario_type,total_gross_pnl,total_net_pnl,total_signed_impact_cost_normalized,total_quadratic_impact_cost_normalized,mean_daily_net_pnl,std_daily_net_pnl,daily_sharpe,annualized_sharpe,total_signed_volume_turnover,total_notional_turnover,average_daily_turnover_shares,average_daily_turnover_notional,total_normalized_turnover,max_participation_rate,mean_participation_rate,max_drawdown,max_daily_drawdown,max_abs_position,max_abs_impact,number_of_trades,number_of_stock_days,mean_abs_trade,median_abs_trade,rows,rows_with_scaling,rows_skipped_due_to_missing_scaling,strategy_model,total_fitted_cost_ow_regression,total_abs_fitted_cost_ow_regression,net_pnl_under_ow_regression_eval,mean_abs_marginal_impact_ow_regression_bps,total_fitted_cost_reduced_form,total_abs_fitted_cost_reduced_form,net_pnl_under_reduced_form_eval,mean_abs_marginal_impact_reduced_form_bps,liquidation_trigger_mode,liquidation_probability,liquidation_random_seed,liquidation_mode,number_of_liquidation_events,number_no_liquidation_events,liquidation_event_rate_realized,expected_number_of_liquidation_events,number_fully_liquidated_immediately,number_fully_liquidated_eventually,number_with_residual_after_first_liquidation,number_with_overnight_residual,max_residual_position,total_abs_residual_position,mean_time_to_liquidate_minutes,max_time_to_liquidate_minutes,total_alpha_trades_suppressed_due_to_liquidation,hard_block_cap_violation_rate,total_turnover,baseline_net_pnl_ow_eval,stress_net_pnl_ow_eval,degradation_ow_eval,baseline_net_pnl_rf_eval,stress_net_pnl_rf_eval,degradation_rf_eval
2,forced_liq_deterministic_daily_hard_block_OW_transient_proxy,forced_liquidation_stress,30660601.36614272,30660601.36614272,0.0,0.0,1460028.6364829869,998268.9991964109,1.4625603295888026,23.217425457123806,182278853.37032714,24532241958.860714,8679945.398587009,1168201998.0409863,180.07934270381742,0.05000000000000001,9.030220135072433e-05,-869446.2326320298,-150951.58788930252,707144.7028507807,0.15550900704430615,320512,420,192.78546862491646,0.0,945501,945501,0,OW_transient_proxy,1393639.7510172138,1721068.74386135,29266961.61512551,0.21664846663849824,1655774.628042368,2595679.9597821264,29004826.738100357,0.2955312501002788,deterministic_daily,1.0,42,hard_block,420,0,1.0,420.0,420,420,0,0,0.0,0.0,0.0,0.0,547155,0.5785714285714286,182278853.37032714,42294300.465153106,29266961.61512551,-13027338.850027595,42091671.30985796,29004826.738100357,-13086844.5717576
2,forced_liq_deterministic_daily_capped_residual_OW_transient_proxy,forced_liquidation_stress,30526166.981917612,30526166.981917612,0.0,0.0,1453626.9991389343,995786.8282144712,1.4597772916372158,23.173246099268887,182278853.37032714,24532222096.53631,8679945.398587009,1168201052.2160146,180.07934270381742,0.010000000000000002,9.030220135072433e-05,-869446.2326320298,-152824.4230304286,707144.7028507807,0.15550900704430615,321081,420,192.78546862491646,0.0,945501,945501,0,OW_transient_proxy,721590.6250053719,1049777.6480421429,29804576.35691224,0.21656805775173438,918820.5668939037,1872183.8081484954,29607346.415023714,0.2954240532048755,deterministic_daily,1.0,42,capped_with_residual,420,0,1.0,420.0,177,420,243,0,5.4569682106375694e-12,2.546585164964199e-11,0.23888888888888887,1.8333333333333333,547561,0.0,182278853.37032714,42294300.465153106,29804576.35691224,-12489724.108240865,42091671.30985796,29607346.415023714,-12484324.894834243
2,forced_liq_probabilistic_daily_p010_seed42_hard_block_OW_transient_proxy,forced_liquidation_stress,40653915.48999424,40653915.48999424,0.0,0.0,1935900.7376187735,1055880.8524070329,1.8334462010610462,29.105056141341937,369694243.8218362,47979757666.066536,17604487.801039815,2284750365.050788,180.07934270381742,0.05000000000000001,0.00018265784918111892,-869446.2326319739,-21755.929291136563,707144.7028507807,0.15550900704430615,821070,420,391.0035460796299,178.11308225460743,945501,945501,0,OW_transient_proxy,711426.8528818386,1438423.6266006255,39942488.63711241,0.21969240539547222,910691.8555727343,2858990.2799211442,39743223.63442151,0.2994942583462971,probabilistic_daily,0.1,42,hard_block,36,384,0.08571428571428572,42.0,36,36,0,0,0.0,0.0,0.0,0.0,46585,0.4444444444444444,369694243.8218362,42294300.465153106,39942488.63711241,-2351811.8280406967,42091671.30985796,39743223.63442151,-2348447.6754364446
2,forced_liq_probabilistic_daily_p010_seed42_capped_residual_OW_transient_proxy,forced_liquidation_stress,40654621.323301785,40654621.323301785,0.0,0.0,1935934.348728656,1056058.4512690455,1.83316969472881,29.10066673939575,369694243.8218362,47979747617.81161,17604487.801039815,2284749886.5624576,180.07934270381742,0.010000000000000002,0.00018265784918111892,-869446.2326319665,-22147.64408531785,707144.7028507807,0.15550900704430615,821106,420,391.0035460796299,178.13738003421167,945501,945501,0,OW_transient_proxy,686140.7601995189,1413137.5973248053,39968480.56310227,0.21968806721685455,885715.1447182952,2835735.9566156236,39768906.17858349,0.2995029639575252,probabilistic_daily,0.1,42,capped_with_residual,36,384,0.08571428571428572,42.0,20,36,16,0,3.637978807091713e-12,5.4569682106375694e-12,0.18055555555555555,0.8333333333333334,46619,0.0,369694243.8218362,42294300.465153106,39968480.56310227,-2325819.902050838,42091671.30985796,39768906.17858349,-2322765.131274469
