pair_id,baseline_net_pnl_m,delayed_net_pnl_m,degradation_m,degradation_pct
1,32.52236463015908,21.834657890358013,-10.687706739801067,-32.86263733077391
2,42.37992339832111,29.539040580754747,-12.840882817566369,-30.299447917536966
3,32.49107444854612,23.24383710620751,-9.247237342338607,-28.460854247780638
4,54.36525030637565,35.79431438514867,-18.570935921226987,-34.15957034423713
5,60.123358962105044,42.00689150960557,-18.11646745249947,-30.132161218600643
6,38.84966041777764,26.492811527109957,-12.356848890667685,-31.80683887011063
7,74.2470556272873,52.15310344218786,-22.09395218509944,-29.757344582132443
8,28.151864863566377,19.542490518600395,-8.60937434496598,-30.58189710234107
9,105.00462859105286,80.08210611577185,-24.922522475281013,-23.7346894224476
10,33.92568134087262,21.99318742817816,-11.932493912694461,-35.17245178601191
11,35.51031589270098,23.314795655219353,-12.195520237481624,-34.34359827812281
