pair_id,net_pnl_m,gross_pnl_m,cost_m,daily_sharpe,max_drawdown_m,turnover_shares_m,notional_turnover_b,mean_participation_pct,max_participation_pct
1,32.52236463015908,33.02338515576369,0.5010205256046062,1.8811799350475245,-1.6706318800003306,282.61722575194426,42.786914373698195,0.01606054798384,1.0
2,42.37992339832111,42.985010704966896,0.6050873066457817,1.8374106094101736,-0.8710756488116458,388.69297022600443,49.94629025260051,0.01904591774136,1.0
3,32.49107444854612,33.12585417262003,0.634779724073911,1.773232662151497,-0.9159060478836484,392.9482808573806,43.886273201035245,0.018441973896119998,1.0
4,54.36525030637565,55.10890397394978,0.7436536675741291,2.107078918114217,-0.8362327642472657,451.47626704408896,68.2020460862077,0.02309942770766,1.0
5,60.123358962105044,60.79322376845351,0.6698648063484581,1.5803806091826895,-0.8337522641522139,319.5817834299774,72.08829316852767,0.02005321018063,1.0
6,38.84966041777764,39.47905557554552,0.6293951577678749,1.9390664096077423,-1.1186255062035768,380.27826336540033,62.36849207842142,0.02399154378115,1.0
7,74.2470556272873,74.94613157077853,0.6990759434912414,1.7732071767071056,-0.7121521860825485,450.42602425291597,78.36927642434331,0.024065861558150003,1.0
8,28.151864863566377,28.670801518984458,0.5189366554180838,2.0425749875538757,-0.7424179309339374,270.5355546938592,36.17217588371917,0.01698492031219,1.0
9,105.00462859105286,105.54161054917216,0.5369819581192976,4.375278192973899,-0.8609257182141692,437.2918812852867,116.3265633261918,0.027073975014469998,1.0
10,33.92568134087262,34.38803332163525,0.4623519807626151,3.3135395800810072,-0.3265046113750208,321.92771022303987,63.299010265296815,0.0247901168065,1.0
11,35.51031589270098,36.00919156454506,0.4988756718440877,2.325869154414436,-0.5249974633750022,328.15232391578223,66.58049946502655,0.035047212692,1.0
