pair_id,strategy_model,assumed_model,total_turnover,total_notional_turnover,max_participation_rate,mean_participation_rate,total_internal_proxy_cost,total_internal_proxy_net_pnl
1,OW_transient_proxy,OW_transient,282617225.75194424,42786914373.6982,0.01,0.00016060547983848955,501020.52560460614,32522364.63015908
1,reduced_form_proxy,reduced_form,305900575.99111927,42522668509.4955,0.01,0.00018707805438371246,465404.5443387993,30335793.583683893
