pair_id,scenario_name,scenario_type,total_fitted_cost_ow_regression,total_abs_fitted_cost_ow_regression,net_pnl_under_ow_regression_eval,mean_abs_marginal_impact_ow_regression_bps,total_fitted_cost_reduced_form,total_abs_fitted_cost_reduced_form,net_pnl_under_reduced_form_eval,mean_abs_marginal_impact_reduced_form_bps,total_cost_difference_rf_minus_ow,net_pnl_difference_rf_minus_ow,degradation_rf_vs_ow,corr_between_ow_and_rf_marginal_impact,rf_true_correct_model_pnl,rf_true_wrong_model_pnl,wrong_model_loss_rf_true,ow_true_correct_model_pnl,ow_true_wrong_model_pnl,wrong_model_loss_ow_true,impact_evaluator_sensitivity_net_pnl_difference_rf_minus_ow
1,impact_evaluator_sensitivity_same_ow_trade_path,impact_evaluator_sensitivity,76224298.6300385,77272276.27344762,-54053982.4781846,0.88974806177967,74694673.919687,77084089.87355888,-52524357.76783311,0.8906526255625747,-1529624.7103514802,1529624.7103514895,1529624.7103514895,0.8488173415901682,,,,,,,
1,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,,,,,,,,,,-2055436.4843496382,,,30343185.29891652,32349573.49304369,2006388.1941271722,32398621.783266157,30039799.2352884,-2358822.5479777567,1529624.7103514895
