pair_id,scenario_name,scenario_type,rf_true_correct_model_pnl,rf_true_wrong_model_pnl,wrong_model_loss_rf_true,ow_true_correct_model_pnl,ow_true_wrong_model_pnl,wrong_model_loss_ow_true,net_pnl_difference_rf_minus_ow,impact_evaluator_sensitivity_net_pnl_difference_rf_minus_ow,fixed_path_strategy_model,total_fitted_cost_ow_regression,total_abs_fitted_cost_ow_regression,net_pnl_under_ow_regression_eval,mean_abs_marginal_impact_ow_regression_bps,total_fitted_cost_reduced_form,total_abs_fitted_cost_reduced_form,net_pnl_under_reduced_form_eval,mean_abs_marginal_impact_reduced_form_bps,total_cost_difference_rf_minus_ow,degradation_rf_vs_ow,corr_between_ow_and_rf_marginal_impact
8,impact_evaluator_sensitivity_same_OW_transient_proxy_trade_path,impact_evaluator_sensitivity,,,,,,,350697.52199374884,,OW_transient_proxy,501328.6035224198,1679815.759029649,28169472.91546204,0.2219499737537744,150631.08152866922,2432789.492468792,28520170.43745579,0.2826139380065135,-350697.5219937506,350697.52199374884,0.4716685190013475
8,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,29364135.127845515,28520170.43745579,-843964.6903897263,28169472.91546204,28623974.684138656,454501.76867661625,1194662.2123834752,350697.52199374884,,,,,,,,,,,,
9,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,49343176.09878478,103010310.82577074,53667134.726985954,104096519.5225727,46946623.75619879,-57149895.7663739,-54753343.423787914,-1086208.6968019605,,,,,,,,,,,,
9,impact_evaluator_sensitivity_same_OW_transient_proxy_trade_path,impact_evaluator_sensitivity,,,,,,,-1086208.6968019605,,OW_transient_proxy,1445091.0265994542,2399431.2990833707,104096519.5225727,0.1644119443752809,2531299.723401397,7292498.058087418,103010310.82577074,0.3159195815803807,1086208.696801943,-1086208.6968019605,0.4139591635551616
9,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,49343176.09878478,103010310.82577074,53667134.726985954,104096519.5225727,46946623.75619879,-57149895.7663739,-54753343.423787914,-1086208.6968019605,,,,,,,,,,,,
10,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,32925014.709285185,33929561.67623767,1004546.9669524878,33571348.18315058,31026667.192447633,-2544680.9907029495,-646333.4738653973,358213.49308709055,,,,,,,,,,,,
10,impact_evaluator_sensitivity_same_OW_transient_proxy_trade_path,impact_evaluator_sensitivity,,,,,,,358213.49308709055,,OW_transient_proxy,816685.1384846612,2128730.5960035343,33571348.18315058,0.1651100322230702,458471.64539756987,3232477.467819116,33929561.67623767,0.279140171926976,-358213.4930870915,358213.49308709055,0.4360328204352087
10,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,32925014.709285185,33929561.67623767,1004546.9669524878,33571348.18315058,31026667.192447633,-2544680.9907029495,-646333.4738653973,358213.49308709055,,,,,,,,,,,,
11,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,39003601.538318306,36593454.99750991,-2410146.5408083946,35392844.77234253,34702725.48749535,-690119.284847185,3610756.7659757733,1200610.2251673788,,,,,,,,,,,,
11,impact_evaluator_sensitivity_same_OW_transient_proxy_trade_path,impact_evaluator_sensitivity,,,,,,,1200610.2251673788,,OW_transient_proxy,616346.7922025272,1038445.8788056206,35392844.77234253,0.1169323585673114,-584263.4329648586,4993299.440413537,36593454.99750991,0.2694063555372776,-1200610.225167386,1200610.2251673788,0.276303221347034
11,wrong_model_strategy_misspecification,wrong_model_strategy_misspecification,39003601.538318306,36593454.99750991,-2410146.5408083946,35392844.77234253,34702725.48749535,-690119.284847185,3610756.765975774,1200610.2251673788,,,,,,,,,,,,
