pair_id,strategy_model,n_rows,n_stocks,number_of_unique_dates,total_gross_pnl,total_net_pnl,total_signed_impact_cost_normalized,total_quadratic_impact_cost_normalized,mean_daily_net_pnl,std_daily_net_pnl,daily_sharpe,annualized_sharpe,total_signed_volume_turnover,total_notional_turnover,average_daily_turnover_shares,average_daily_turnover_notional,total_normalized_turnover,max_participation_rate,mean_participation_rate,max_drawdown,max_daily_drawdown,max_abs_position,max_abs_impact,number_of_trades,number_of_stock_days,mean_abs_trade,median_abs_trade,rows,rows_with_scaling,rows_skipped_due_to_missing_scaling
1,OW_transient_proxy,846332,20,19,33023385.155763686,32522364.63015908,0.0,501020.52560460614,1711703.40158732,909909.4508171421,1.8811799350475245,29.862805677002335,282617225.75194424,42786914373.6982,14874590.829049697,2251942861.773589,135.92555696266854,0.01,0.00016060547983848955,-1670631.8800003305,0.0,705447.3027049889,0.13973652154705227,793919,380,333.93186805171524,149.57383093017552,846332,846332,0
2,OW_transient_proxy,945501,20,21,42985010.704966895,42379923.398321114,0.0,605087.3066457817,2018091.5903962436,1098334.5693448838,1.8374106094101736,29.167989172865735,388692970.2260044,49946290252.60051,18509189.05838116,2378394773.933358,180.07934270381742,0.010000000000000002,0.00019045917741368587,-871075.6488116458,-46799.396243169904,707144.7028507807,0.15550900704430615,867653,420,411.0973655511781,193.24458663425685,945501,945501,0
3,OW_transient_proxy,926390,20,21,33125854.172620032,32491074.44854612,0.0,634779.7240739111,1547194.021359339,872527.364503933,1.773232662151497,28.149195844259268,392948280.8573806,43886273201.03525,18711822.89797051,2089822533.3826313,170.84460197635053,0.01,0.00018441973896129118,-915906.0478836484,0.0,672001.730423041,0.3965363148583068,866566,420,424.1715485458399,175.75391969571774,926390,926390,0
4,OW_transient_proxy,984241,20,22,55108903.97394978,54365250.30637565,0.0,743653.6675741291,2471147.741198893,1172783.667453001,2.107078918114217,33.4488408607035,451476267.04408896,68202046086.207695,20521648.502004042,3100093003.918532,227.35403826422984,0.01,0.00023099427707668125,-836232.7642472656,0.0,874009.6461900576,0.10211488018466104,877899,440,458.70499912530465,205.90399377404538,984241,984241,0
5,OW_transient_proxy,866098,20,20,60793223.76845351,60123358.96210504,0.0,669864.8063484582,3006167.9481052523,1902179.7221745993,1.5803806091826895,25.087764412356943,319581783.4299774,72088293168.52766,15979089.17149887,3604414658.426383,173.6804523102706,0.01,0.0002005321018063436,-833752.2641522139,0.0,864963.09422619,0.11115535728726882,783509,400,368.9903260716194,136.63102171771197,866098,866098,0
6,OW_transient_proxy,944894,20,22,39479055.57554552,38849660.41777764,0.0,629395.1577678749,1765893.655353529,910692.7161461969,1.9390664096077423,30.781724972765957,380278263.3654003,62368492078.42142,17285375.607518196,2834931458.1100645,226.6946576955276,0.01,0.0002399154378115721,-1118625.506203577,0.0,908655.6863461448,0.12244617430107062,849906,440,402.45600391726515,181.49496145410376,944894,944894,0
7,OW_transient_proxy,958551,20,22,74946131.57077853,74247055.6272873,0.0,699075.9434912413,3374866.1648766953,1903255.4171949124,1.7732071767071056,28.148791275371796,450426024.252916,78369276424.3433,20473910.193314366,3562239837.4701495,230.68355662432026,0.01,0.00024065861558156035,-712152.1860825485,0.0,701686.5637723427,0.06276025875938568,855224,424,469.9030351571445,207.1311754387607,958551,958551,0
8,OW_transient_proxy,872331,20,20,28670801.51898446,28151864.863566376,0.0,518936.6554180837,1407593.2431783187,689126.8383071745,2.0425749875538757,32.42487270761044,270535554.69385916,36172175883.71917,13526777.734692957,1808608794.1859584,148.16472520858753,0.01,0.00016984920312196577,-742417.9309339374,0.0,477877.5784507344,0.19686743079775282,816768,400,310.12947458460053,147.5865777954932,872331,872331,0
9,OW_transient_proxy,1022167,20,23,105541610.54917216,105004628.59105286,0.0,536981.9581192976,4565418.634393603,1043457.908967947,4.375278192973899,69.45538809199803,437291881.2852867,116326563326.1918,19012690.49066464,5057676666.356165,276.7412381862024,0.01,0.00027073975014474383,-860925.7182141691,0.0,933914.0055120457,0.07406567037092197,901948,460,427.80864700708076,188.5511184497518,1022167,1022167,0
10,OW_transient_proxy,859677,20,20,34388033.32163525,33925681.34087262,0.0,462351.9807626151,1696284.067043631,511925.09582220274,3.3135395800810072,52.60081012958243,321927710.22303987,63299010265.296814,16096385.51115199,3164950513.2648406,213.11493245867337,0.01,0.0002479011680650679,-326504.6113750208,0.0,441617.1810727687,0.07637381763444756,778919,400,374.47519268636927,196.13854831380013,859677,859677,0
11,OW_transient_proxy,796918,20,19,36009191.564545065,35510315.89270098,0.0,498875.6718440877,1868963.9943526827,803555.0885592339,2.325869154414436,36.92202818794011,328152323.9157822,66580499465.02654,17271174.94293591,3504236813.9487653,279.2975464409004,0.01,0.0003504721269200852,-524997.4633750021,0.0,724488.5332584475,0.04308056480852702,661755,380,411.77677492010747,201.0245926941352,796918,796918,0
