pair_id,strategy_model,assumed_model,total_turnover,total_notional_turnover,max_participation_rate,mean_participation_rate,total_internal_proxy_cost,total_internal_proxy_net_pnl
5,OW_transient_proxy,OW_transient,319581783.4299774,72088293168.52766,0.01,0.0002005321018063436,669864.8063484582,60123358.96210504
5,reduced_form_proxy,reduced_form,330623895.1983438,83275916883.24911,0.01,0.00019983338527565148,617739.2081904886,69769543.45906524
